Accident_Index,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Year
201201BS70001,1,3,2,1,2012
201201BS70002,1,3,2,1,2012
201201BS70003,1,3,2,1,2012
201201BS70004,1,3,1,1,2012
201201BS70005,1,3,1,1,2012
201201BS70006,1,3,2,1,2012
201201BS70007,1,3,1,1,2012
201201BS70008,1,3,2,1,2012
201201BS70010,1,3,2,1,2012
201201BS70011,1,3,2,1,2012
201201BS70012,1,3,1,1,2012
201201BS70013,1,3,2,2,2012
201201BS70014,1,3,2,1,2012
201201BS70015,1,3,1,1,2012
201201BS70016,1,3,1,1,2012
201201BS70017,1,3,1,1,2012
201201BS70018,1,3,2,1,2012
201201BS70019,1,3,2,2,2012
201201BS70020,1,3,1,1,2012
201201BS70021,1,3,1,1,2012
201201BS70022,1,3,2,2,2012
201201BS70023,1,2,1,1,2012
201201BS70024,1,3,2,2,2012
201201BS70025,1,3,2,1,2012
201201BS70026,1,3,2,1,2012
201201BS70027,1,2,2,1,2012
201201BS70028,1,2,1,1,2012
201201BS70029,1,3,1,4,2012
201201BS70031,1,3,4,2,2012
201201BS70032,1,3,1,1,2012
201201BS70033,1,3,1,1,2012
201201BS70034,1,3,1,1,2012
201201BS70035,1,3,2,1,2012
201201BS70036,1,3,1,1,2012
201201BS70037,1,3,1,1,2012
201201BS70039,1,3,2,1,2012
201201BS70041,1,3,1,1,2012
201201BS70042,1,3,1,1,2012
201201BS70044,1,3,2,1,2012
201201BS70045,1,3,2,1,2012
201201BS70046,1,3,2,1,2012
201201BS70047,1,3,1,1,2012
201201BS70048,1,3,2,1,2012
201201BS70050,1,3,1,1,2012
201201BS70051,1,3,1,1,2012
201201BS70052,1,3,2,1,2012
201201BS70053,1,3,2,1,2012
201201BS70054,1,3,2,2,2012
201201BS70055,1,3,1,1,2012
201201BS70056,1,3,2,1,2012
201201BS70057,1,3,2,1,2012
201201BS70058,1,3,2,1,2012
201201BS70059,1,3,2,1,2012
201201BS70061,1,3,1,1,2012
201201BS70063,1,3,1,1,2012
201201BS70064,1,3,2,1,2012
201201BS70065,1,3,2,1,2012
201201BS70066,1,3,2,1,2012
201201BS70067,1,3,2,1,2012
201201BS70068,1,3,2,2,2012
201201BS70069,1,3,2,1,2012
201201BS70070,1,2,2,1,2012
201201BS70071,1,3,2,1,2012
201201BS70072,1,3,2,1,2012
201201BS70073,1,3,1,1,2012
201201BS70074,1,3,1,1,2012
201201BS70075,1,3,2,1,2012
201201BS70076,1,3,3,1,2012
201201BS70077,1,3,1,1,2012
201201BS70078,1,3,2,1,2012
201201BS70079,1,3,2,1,2012
201201BS70080,1,3,1,1,2012
201201BS70081,1,3,1,1,2012
201201BS70083,1,3,2,1,2012
201201BS70084,1,3,2,1,2012
201201BS70085,1,3,2,1,2012
201201BS70086,1,3,2,1,2012
201201BS70087,1,3,2,1,2012
201201BS70088,1,3,2,2,2012
201201BS70089,1,3,2,1,2012
201201BS70090,1,3,2,1,2012
201201BS70091,1,3,2,1,2012
201201BS70092,1,3,1,1,2012
201201BS70093,1,3,2,3,2012
201201BS70094,1,3,2,1,2012
201201BS70095,1,3,1,1,2012
201201BS70096,1,3,4,1,2012
201201BS70097,1,3,2,1,2012
201201BS70098,1,3,2,1,2012
201201BS70099,1,3,1,2,2012
201201BS70101,1,3,2,1,2012
201201BS70102,1,3,1,1,2012
201201BS70103,1,3,2,4,2012
201201BS70104,1,3,1,1,2012
201201BS70105,1,3,2,1,2012
201201BS70106,1,3,2,1,2012
201201BS70107,1,3,1,1,2012
201201BS70108,1,3,3,1,2012
201201BS70109,1,3,2,1,2012
201201BS70111,1,3,1,1,2012
201201BS70112,1,3,2,1,2012
201201BS70113,1,2,2,1,2012
201201BS70114,1,3,2,1,2012
201201BS70115,1,3,2,2,2012
201201BS70117,1,3,2,1,2012
201201BS70118,1,3,2,1,2012
201201BS70119,1,3,2,1,2012
201201BS70122,1,3,3,1,2012
201201BS70123,1,3,2,1,2012
201201BS70124,1,3,1,1,2012
201201BS70126,1,3,2,1,2012
201201BS70127,1,3,1,1,2012
201201BS70128,1,3,2,1,2012
201201BS70129,1,3,2,1,2012
201201BS70130,1,3,1,2,2012
201201BS70131,1,3,2,1,2012
201201BS70132,1,3,2,1,2012
201201BS70134,1,3,2,1,2012
201201BS70136,1,3,2,1,2012
201201BS70137,1,2,2,1,2012
201201BS70138,1,3,2,1,2012
201201BS70139,1,3,1,1,2012
201201BS70140,1,3,2,1,2012
201201BS70141,1,3,2,1,2012
201201BS70142,1,3,2,1,2012
201201BS70143,1,3,1,1,2012
201201BS70144,1,3,1,1,2012
201201BS70147,1,3,2,1,2012
201201BS70148,1,3,2,1,2012
201201BS70149,1,2,1,1,2012
201201BS70150,1,3,2,1,2012
201201BS70151,1,3,2,1,2012
201201BS70152,1,3,1,2,2012
201201BS70153,1,3,1,1,2012
201201BS70155,1,3,2,1,2012
201201BS70156,1,3,2,1,2012
201201BS70157,1,3,2,1,2012
201201BS70159,1,3,2,1,2012
201201BS70160,1,3,1,1,2012
201201BS70161,1,3,2,1,2012
201201BS70162,1,3,2,1,2012
201201BS70163,1,3,2,1,2012
201201BS70164,1,3,2,1,2012
201201BS70165,1,3,2,1,2012
201201BS70166,1,3,2,1,2012
201201BS70167,1,3,1,1,2012
201201BS70168,1,3,2,1,2012
201201BS70169,1,3,2,1,2012
201201BS70172,1,3,1,1,2012
201201BS70173,1,3,2,1,2012
201201BS70174,1,3,1,1,2012
201201BS70175,1,3,2,1,2012
201201BS70176,1,3,2,1,2012
201201BS70177,1,3,2,1,2012
201201BS70179,1,3,2,1,2012
201201BS70180,1,3,2,2,2012
201201BS70181,1,3,2,1,2012
201201BS70182,1,3,1,1,2012
201201BS70183,1,3,2,1,2012
201201BS70184,1,3,2,1,2012
201201BS70185,1,3,2,1,2012
201201BS70186,1,3,1,1,2012
201201BS70187,1,3,1,1,2012
201201BS70188,1,3,1,1,2012
201201BS70189,1,3,1,2,2012
201201BS70190,1,3,1,1,2012
201201BS70191,1,3,1,1,2012
201201BS70192,1,3,2,1,2012
201201BS70194,1,3,2,1,2012
201201BS70195,1,3,2,1,2012
201201BS70196,1,3,2,1,2012
201201BS70197,1,3,2,1,2012
201201BS70199,1,3,1,1,2012
201201BS70200,1,3,2,1,2012
201201BS70201,1,3,2,1,2012
201201BS70202,1,3,2,1,2012
201201BS70203,1,3,2,1,2012
201201BS70205,1,3,2,1,2012
201201BS70206,1,3,2,1,2012
201201BS70207,1,3,2,1,2012
201201BS70208,1,3,3,4,2012
201201BS70209,1,3,2,1,2012
201201BS70210,1,3,2,1,2012
201201BS70211,1,3,2,1,2012
201201BS70213,1,3,1,1,2012
201201BS70214,1,3,2,1,2012
201201BS70215,1,3,2,1,2012
201201BS70216,1,3,1,1,2012
201201BS70217,1,3,2,1,2012
201201BS70218,1,3,2,1,2012
201201BS70219,1,3,2,1,2012
201201BS70220,1,2,2,1,2012
201201BS70221,1,3,2,1,2012
201201BS70222,1,3,1,1,2012
201201BS70223,1,3,2,1,2012
201201BS70224,1,3,2,1,2012
201201BS70225,1,3,2,1,2012
201201BS70226,1,3,2,2,2012
201201BS70227,1,3,2,1,2012
201201BS70228,1,2,2,1,2012
201201BS70230,1,3,1,1,2012
201201BS70231,1,3,2,1,2012
201201BS70232,1,3,2,1,2012
201201BS70233,1,3,2,1,2012
201201BS70234,1,3,2,1,2012
201201BS70235,1,3,2,1,2012
201201BS70236,1,3,2,1,2012
201201BS70237,1,3,2,1,2012
201201BS70238,1,3,2,1,2012
201201BS70239,1,3,2,1,2012
201201BS70240,1,2,1,1,2012
201201BS70241,1,3,2,1,2012
201201BS70242,1,2,2,1,2012
201201BS70243,1,3,3,2,2012
201201BS70245,1,3,2,1,2012
201201BS70246,1,3,3,1,2012
201201BS70247,1,3,1,1,2012
201201BS70248,1,3,1,1,2012
201201BS70249,1,3,1,1,2012
201201BS70252,1,3,1,1,2012
201201BS70253,1,3,1,1,2012
201201BS70254,1,3,2,1,2012
201201BS70256,1,3,1,1,2012
201201BS70258,1,2,1,1,2012
201201BS70259,1,3,2,1,2012
201201BS70260,1,3,2,1,2012
201201BS70262,1,3,1,1,2012
201201BS70263,1,3,2,1,2012
201201BS70265,1,3,2,1,2012
201201BS70267,1,3,1,1,2012
201201BS70268,1,3,2,1,2012
201201BS70269,1,3,3,1,2012
201201BS70270,1,3,2,1,2012
201201BS70271,1,3,1,1,2012
201201BS70272,1,3,1,1,2012
201201BS70273,1,2,1,1,2012
201201BS70274,1,3,2,1,2012
201201BS70275,1,2,1,1,2012
201201BS70276,1,3,2,1,2012
201201BS70278,1,2,1,1,2012
201201BS70279,1,3,2,1,2012
201201BS70281,1,3,2,1,2012
201201BS70283,1,3,2,1,2012
201201BS70284,1,3,1,1,2012
201201BS70285,1,3,1,1,2012
201201BS70286,1,3,2,1,2012
201201BS70287,1,3,2,1,2012
201201BS70288,1,3,1,1,2012
201201BS70289,1,2,2,1,2012
201201BS70290,1,3,2,1,2012
201201BS70291,1,3,2,1,2012
201201BS70292,1,2,2,1,2012
201201BS70293,1,3,2,1,2012
201201BS70294,1,3,2,1,2012
201201BS70295,1,3,2,1,2012
201201BS70296,1,3,2,1,2012
201201BS70297,1,3,2,1,2012
201201BS70298,1,3,2,1,2012
201201BS70299,1,3,1,1,2012
201201BS70300,1,3,2,1,2012
201201BS70301,1,3,1,1,2012
201201BS70302,1,3,2,1,2012
201201BS70303,1,3,2,1,2012
201201BS70304,1,3,2,1,2012
201201BS70305,1,3,2,1,2012
201201BS70306,1,3,2,1,2012
201201BS70307,1,3,1,1,2012
201201BS70308,1,3,2,1,2012
201201BS70309,1,3,1,1,2012
201201BS70310,1,3,1,1,2012
201201BS70311,1,3,1,1,2012
201201BS70312,1,3,2,1,2012
201201BS70313,1,3,1,1,2012
201201BS70314,1,3,2,1,2012
201201BS70315,1,3,2,1,2012
201201BS70316,1,3,1,1,2012
201201BS70317,1,3,1,1,2012
